egg_id,clutch_id,pair_id,species_scientific,species_common,lay_date,season,incubation_method,initial_weight_g,fertility_status,embryo_loss_stage,hatch_status,hatch_date,hatch_assistance,chick_id,chick_status_day7,data_quality_flag,source_record_type,verified_status
EGG-0131,CL-04-003,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-01-29,cool-dry,parental,19.5,fertile,none,hatched,2025-02-23,none,CHK-04-0131,alive,ok,combined,single_checked
EGG-0132,CL-04-003,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-01,cool-dry,artificial,20.1,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0133,CL-04-004,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-05,cool-dry,parental,16.3,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0134,CL-04-004,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-08,cool-dry,artificial,17.8,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,register,double_checked
EGG-0135,CL-04-004,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-10,cool-dry,parental,18.1,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0136,CL-04-004,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-14,cool-dry,artificial,20.1,fertile,none,hatched,2025-03-10,none,CHK-04-0136,alive,ok,combined,single_checked
EGG-0137,CL-04-005,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-17,cool-dry,artificial,16.9,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0138,CL-04-005,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-19,cool-dry,artificial,19.2,fertile,none,hatched,2025-03-15,none,CHK-04-0138,alive,ok,combined,double_checked
EGG-0139,CL-04-005,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-24,cool-dry,mixed,16.2,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,combined,single_checked
EGG-0140,CL-04-005,PAIR-04-02,Eclectus roratus,Eclectus Parrot,2025-02-26,cool-dry,mixed,16.1,fertile,none,hatched,2025-03-26,none,CHK-04-0140,alive,ok,incubator_log,single_checked
EGG-0141,CL-04-006,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-02,transition,artificial,16.9,fertile,none,hatched,2025-03-27,none,CHK-04-0141,died,ok,spreadsheet,double_checked
EGG-0142,CL-04-006,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-04,transition,parental,18.7,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,single_checked
EGG-0143,CL-04-006,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-08,transition,parental,18.6,fertile,none,hatched,2025-04-07,none,CHK-04-0143,alive,ok,spreadsheet,double_checked
EGG-0144,CL-04-006,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-11,transition,artificial,17.9,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,spreadsheet,single_checked
EGG-0145,CL-04-007,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-13,transition,parental,16.9,fertile,none,hatched,2025-04-11,none,CHK-04-0145,alive,ok,register,double_checked
EGG-0146,CL-04-007,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-17,transition,parental,19.3,fertile,none,hatched,2025-04-15,none,CHK-04-0146,alive,ok,spreadsheet,double_checked
EGG-0147,CL-04-007,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-18,transition,parental,18.7,fertile,none,hatched,2025-04-13,full,CHK-04-0147,alive,ok,incubator_log,single_checked
EGG-0148,CL-04-007,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-21,transition,mixed,19.2,fertile,none,hatched,2025-04-19,none,CHK-04-0148,alive,ok,register,double_checked
EGG-0149,CL-04-008,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-26,transition,artificial,19.1,fertile,none,hatched,2025-04-22,none,CHK-04-0149,alive,ok,spreadsheet,double_checked
EGG-0150,CL-04-008,PAIR-04-03,Eclectus roratus,Eclectus Parrot,2025-03-29,transition,parental,17.8,fertile,none,hatched,2025-04-25,none,CHK-04-0150,alive,ok,incubator_log,single_checked
EGG-0151,CL-04-008,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-03-30,transition,mixed,17.9,fertile,none,hatched,2025-04-29,none,CHK-04-0151,alive,ok,combined,double_checked
EGG-0152,CL-04-008,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-03,transition,parental,20.3,fertile,none,hatched,2025-05-02,none,CHK-04-0152,alive,ok,register,single_checked
EGG-0153,CL-04-009,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-06,transition,artificial,17.1,fertile,early,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0154,CL-04-009,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-08,transition,artificial,17.9,fertile,none,hatched,2025-05-04,none,CHK-04-0154,alive,ok,combined,double_checked
EGG-0155,CL-04-009,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-13,transition,artificial,18.2,fertile,none,hatched,2025-05-08,none,CHK-04-0155,alive,ok,spreadsheet,single_checked
EGG-0156,CL-04-009,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-14,transition,mixed,19.3,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,register,single_checked
EGG-0157,CL-04-010,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-19,transition,parental,17.1,infertile,not_applicable,not_hatched,,not_applicable,,not_applicable,ok,incubator_log,double_checked
EGG-0158,CL-04-010,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-20,transition,artificial,17.9,fertile,none,hatched,2025-05-17,none,CHK-04-0158,alive,ok,spreadsheet,double_checked
EGG-0159,CL-04-010,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-24,transition,mixed,15.5,fertile,none,hatched,2025-05-19,none,CHK-04-0159,alive,ok,spreadsheet,double_checked
EGG-0160,CL-04-010,PAIR-04-04,Eclectus roratus,Eclectus Parrot,2025-04-28,transition,artificial,16.4,fertile,late,not_hatched,,not_applicable,,not_applicable,ok,combined,single_checked
